profile_id,year,games_played,passing_completions,passing_attempts,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_yards,receptions,receiving_touchdowns,fumbles_lost
2495721,2007,15,0,0,0,0,0,0,0,0,437,37,1,1
2495744,2007,7,0,0,0,0,0,13,43,1,0,0,28,0
2495772,2007,1,0,0,0,0,0,0,0,0,0,0,0,0
2495793,2007,15,0,0,0,0,0,261,1072,12,364,3,200,0
2495801,2007,16,0,0,0,0,0,0,0,0,76,5,0,0
2495821,2007,16,0,0,0,0,0,0,0,0,1202,98,11,1
2495824,2007,16,297,467,3497,20,14,44,205,1,0,0,0,4
2495825,2007,16,0,0,0,0,0,0,0,0,768,63,3,3
2495826,2007,14,0,0,0,0,0,0,0,0,509,52,4,1
2495831,2007,15,0,0,0,0,0,167,768,9,407,0,320,2
2495835,2007,16,0,0,0,0,0,0,0,0,143,14,1,0
2495863,2007,12,171,294,1911,9,12,54,260,3,0,0,0,3
2495867,2007,13,0,0,0,0,0,0,0,0,920,53,12,0
2495888,2007,16,0,0,0,0,0,0,0,0,391,37,2,0
2495893,2007,16,0,0,0,0,0,5,57,0,1325,102,7,1
2495966,2007,16,0,0,0,0,0,0,0,0,174,21,1,0
2495979,2007,16,0,0,0,0,0,144,717,4,175,1,315,1
2500150,2007,6,50,82,531,0,0,3,-3,0,0,0,0,1
2500835,2007,16,0,0,0,0,0,0,0,0,1172,99,5,0
2501078,2007,16,352,562,3966,28,12,39,89,0,0,0,0,5
2501863,2007,16,337,515,4040,31,14,20,-5,3,0,0,0,1
2501898,2007,16,0,0,0,0,0,0,0,0,1087,103,5,1
2502044,2007,14,291,473,3324,19,7,50,236,0,0,0,0,5
2502220,2007,16,0,0,0,0,0,0,0,0,1493,98,23,0
2502377,2007,15,0,0,0,0,0,1,5,0,1355,81,15,0
2503532,2007,13,0,0,0,0,0,3,11,0,732,71,7,0
2503715,2007,1,0,0,0,0,0,6,15,0,0,0,6,1
2504211,2007,16,398,578,4806,50,8,37,98,2,0,0,0,4
2504252,2007,16,0,0,0,0,0,310,1119,1,217,1,225,0
2504253,2007,16,0,0,0,0,0,0,0,0,1025,70,12,0
2504566,2007,3,59,103,681,5,8,7,23,0,0,0,0,0
2504595,2007,15,0,0,0,0,0,9,66,0,1002,87,7,1
2504651,2007,16,0,0,0,0,0,6,47,0,1440,93,8,1
2504743,2007,14,0,0,0,0,0,3,13,0,808,61,3,2
2504747,2007,16,0,0,0,0,0,1,4,0,1510,104,10,3
